formula,mpid,spacegroup.symbol,nature of band gap
NaBrO3,mp-23339,P2_13,0
LiIO3,mp-23384,P4_2/n,0
MnBiO3,mp-23477,C2/c,0
MgVO3,mp-27186,Cmcm,0
MnSO3,mp-27818,P2_1/c,0
LaAuO3,mp-28853,Pbcm,0
LiBiO3,mp-29077,Pccn,0
LiPO3,mp-29195,P2_1/c,1
LaAlO3,mp-2920,R-3c,0
MgGeO3,mp-3047,Cmcm,0
LaScO3,mp-31116,Pnma,1
LaGaO3,mp-3336,R-3c,0
MgSiO3,mp-3470,P2_1/c,1
MgSiO3,mp-3547,Pnma,0
KTaO3,mp-3614,Pm-3m,0
LiTaO3,mp-3666,R3c,0
KNO3,mp-36903,P2_1/m,1
LiNbO3,mp-3731,R3c,0
MgGeO3,mp-3759,R-3,0
MgTiO3,mp-3771,R-3,0
KUO3,mp-4126,Pm-3m,0
MgSiO3,mp-4321,C2/c,0
KNbO3,mp-4342,P4mm,0
MgSiO3,mp-4391,Cmcm,1
MgGeO3,mp-4575,Pbca,1
MgGeO3,mp-4819,C2/c,0
LiSbO3,mp-4995,Pnna,1
MgSiO3,mp-5026,Pbcn,1
KPO3,mp-5039,P2_1/c,1
MnPbO3,mp-510672,C2/c,0
KNO3,mp-5158,Pnma,0
LaRhO3,mp-5163,Pnma,0
KNbO3,mp-5246,Amm2,0
LaAlO3,mp-5304,Pm-3m,0
MgSiO3,mp-530986,C2,1
MnSiO3,mp-532143,I4_1/a,1
MgCO3,mp-5348,R-3c,0
KSO3,mp-541581,P321,0
LiUO3,mp-545712,Pm-3m,0
MgCO3,mp-546079,C222_1,0
MnClO3,mp-546798,Cmc2_1,0
KSbO3,mp-547792,R-3,0
LaFeO3,mp-552676,Pm-3m,0
LiIO3,mp-555562,P4_2/n,0
NaClO3,mp-555726,P2_13,0
MgSiO3,mp-556940,Pbca,1
LaGaO3,mp-556983,Imma,0
LiPO3,mp-557189,P2/c,1
MgSiO3,mp-557803,Pna2_1,1
KPO3,mp-557985,P2_1/c,1
KSO3,mp-558546,P321,1
LiAsO3,mp-559767,C2/c,0
MnSiO3,mp-560199,P-1,1
MnSO3,mp-560522,R-3,0
LaCoO3,mp-573180,Pm-3m,0
LaGaO3,mp-5837,Pnma,0
MgSiO3,mp-5924,R-3,0
MnSiO3,mp-5945,P-1,0
MgSiO3,mp-603907,C2/c,0
LaFeO3,mp-605340,Pmn2_1,0
MgSiO3,mp-642210,Pna2_1,0
MgSiO3,mp-642216,P2_1/c,0
MgSiO3,mp-644879,Pbcn,1
MnSiO3,mp-647680,P-1,0
NaClO3,mp-655586,P1,1
MgSiO3,mp-657336,Pna2_1,0
